Suburb/town(2017),1 Bed Flat,,,2 Bed Flat,,,2 Bed House,,,3 Bed House,,
,Count,Median,Annual,Count,Median,Annual,Count,Median,Annual,Count,Median,Annual
,,,% Change,,,% Change,,,% Change,,,% Change
Albert Park-Middle Park-West St Kilda,242,$350,7.70%,228,$480,1.10%,121,$650,0.00%,111,$900,4.70%
Armadale,247,$350,10.10%,357,$450,12.50%,30,$610,1.70%,58,$860,1.20%
Carlton North,64,$348,2.40%,90,$473,7.50%,92,$550,5.80%,75,$720,10.80%
Carlton-Parkville,"3,051",$360,7.80%,"1,263",$510,6.30%,65,$520,4.00%,58,$745,-0.70%
CBD-St Kilda Rd,"5,090",$410,6.80%,"4,887",$575,4.50%,14,$445,-10.10%,11,$470,113.60%
Collingwood-Abbotsford,698,$390,2.60%,858,$510,2.00%,121,$560,1.80%,84,$720,5.40%
Docklands,"1,111",$445,3.50%,"1,319",$600,7.10%,-,-,-,-,-,-
East Melbourne,230,$400,5.30%,193,$550,3.80%,-,-,-,12,$975,-11.40%
East St Kilda,494,$310,3.30%,860,$415,3.80%,63,$580,5.50%,68,$745,6.40%
Elwood,574,$330,3.10%,896,$440,0.00%,37,$630,5.90%,59,$860,7.80%
Fitzroy,208,$393,-0.50%,190,$573,5.50%,69,$585,-2.50%,28,$750,0.00%
Fitzroy North-Clifton Hill,257,$350,2.90%,309,$480,2.10%,168,$570,3.60%,131,$725,0.30%
Flemington-Kensington,381,$350,6.10%,533,$400,2.60%,164,$480,2.10%,147,$580,3.60%
North Melbourne-West Melbourne,"1,316",$368,5.10%,903,$485,1.00%,101,$540,9.10%,67,$700,7.70%
Port Melbourne,312,$430,0.00%,497,$570,0.00%,113,$580,3.60%,142,$800,-1.20%
Prahran-Windsor,"1,123",$340,4.60%,770,$490,6.50%,194,$598,6.20%,121,$785,4.70%
Richmond-Burnley,970,$383,3.50%,974,$530,6.00%,342,$600,3.40%,283,$750,4.20%
South Melbourne,392,$400,0.00%,381,$540,3.80%,85,$550,-5.20%,44,$850,6.90%
South Yarra,"1,735",$380,5.60%,"1,588",$540,5.90%,86,$650,8.30%,89,$900,5.90%
Southbank,879,$435,1.20%,"1,492",$565,0.90%,-,-,-,-,-,-
St Kilda,"1,467",$355,1.40%,"1,278",$470,4.40%,42,$595,3.50%,60,$738,7.00%
Toorak,218,$333,5.70%,295,$490,7.70%,14,$650,-0.80%,44,$995,10.60%
Balwyn,120,$360,2.90%,369,$425,7.60%,38,$408,-1.70%,219,$550,0.90%
Blackburn,130,$340,3.00%,234,$400,5.30%,39,$400,8.10%,283,$430,2.40%
Box Hill,546,$260,4.00%,783,$399,2.30%,69,$395,2.60%,321,$450,0.00%
Bulleen-Templestowe-Doncaster,172,$360,2.90%,597,$430,5.70%,31,$390,2.60%,428,$460,2.20%
Burwood-Ashburton,331,$230,4.50%,255,$430,7.50%,64,$395,0.00%,297,$465,1.10%
Camberwell-Glen Iris,325,$345,6.20%,826,$430,3.60%,58,$500,1.40%,231,$650,2.40%
Canterbury-Surrey Hills-Mont Albert,22,$363,0.00%,352,$420,6.30%,31,$445,3.50%,106,$635,5.80%
Chadstone-Oakleigh,110,$350,6.10%,380,$400,6.10%,54,$390,5.10%,241,$445,1.10%
Clayton,395,$260,-3.70%,646,$375,4.20%,65,$380,0.00%,222,$430,7.50%
Doncaster East-Donvale,27,$350,-1.40%,179,$400,3.90%,15,$395,3.90%,298,$450,0.00%
East Hawthorn,368,$350,0.00%,509,$440,3.50%,43,$580,10.50%,85,$720,2.90%
Glen Waverley-Mulgrave,57,$360,-4.80%,205,$400,2.60%,27,$390,4.00%,733,$445,3.50%
Hawthorn,"1,117",$310,5.10%,955,$430,2.40%,54,$570,7.50%,90,$700,0.00%
Kew,89,$375,4.20%,580,$420,5.00%,52,$533,7.00%,158,$638,-1.80%
Mount Waverley,20,$335,-1.50%,148,$395,1.30%,27,$400,5.30%,313,$450,2.30%
Nunawading-Mitcham,90,$323,2.50%,321,$370,5.70%,55,$380,2.70%,237,$430,4.10%
Vermont-Forest Hill-Burwood East,26,$308,8.10%,194,$375,7.10%,24,$360,-2.70%,353,$425,4.20%
Aspendale-Chelsea-Carrum,63,$300,7.90%,540,$360,2.90%,54,$363,0.00%,359,$450,2.30%
Bentleigh,178,$300,7.10%,701,$410,5.10%,101,$440,4.80%,483,$530,6.00%
Brighton,95,$390,0.00%,372,$520,0.40%,25,$595,19.00%,120,$875,-2.80%
Brighton East,-,-,-,77,$450,4.70%,29,$529,11.40%,119,$650,-3.00%
Carnegie,365,$295,7.30%,546,$425,6.50%,30,$450,0.00%,80,$558,0.50%
Caulfield,586,$290,3.60%,982,$437,6.60%,61,$485,6.60%,152,$623,-4.00%
Cheltenham,148,$320,1.60%,672,$395,5.30%,94,$443,4.70%,487,$515,5.10%
Elsternwick,225,$320,10.30%,330,$438,4.30%,17,$490,-2.00%,53,$682,0.30%
Hampton-Beaumaris,162,$335,-1.50%,388,$465,3.30%,53,$510,6.70%,211,$700,0.70%
Malvern,106,$360,2.90%,200,$430,0.00%,24,$615,5.10%,52,$750,-6.30%
Malvern East,412,$285,7.50%,402,$420,3.70%,34,$473,5.10%,112,$595,-0.80%
Mentone-Parkdale-Mordialloc,254,$290,1.80%,660,$390,5.40%,50,$435,2.40%,208,$520,0.00%
Murrumbeena-Hughesdale,222,$290,3.60%,329,$420,5.00%,24,$440,4.80%,77,$480,0.00%
Altona,92,$260,4.00%,630,$330,3.40%,145,$340,3.00%,"1,448",$375,4.20%
Footscray,418,$270,10.20%,459,$369,5.40%,125,$420,2.40%,148,$470,6.80%
Keilor East-Avondale Heights,217,$330,3.10%,457,$395,6.80%,46,$360,2.90%,397,$400,1.30%
Melton,36,$320,1.90%,129,$260,4.00%,35,$260,0.00%,956,$300,3.40%
Newport-Spotswood,68,$278,6.90%,169,$350,2.90%,91,$450,7.10%,236,$520,5.10%
St Albans-Deer Park,43,$230,9.50%,331,$300,9.10%,68,$310,6.90%,"1,036",$340,6.30%
Sunshine,131,$230,9.50%,279,$300,7.10%,87,$320,6.70%,615,$340,3.00%
Sydenham,-,-,-,152,$340,3.00%,48,$340,3.00%,923,$375,2.70%
Werribee-Hoppers Crossing,47,$250,0.00%,539,$290,3.60%,147,$300,3.40%,"2,405",$340,6.30%
West Footscray,185,$250,2.00%,431,$345,1.50%,140,$380,8.60%,314,$410,7.90%
Williamstown,76,$320,10.30%,130,$360,2.90%,59,$480,4.30%,148,$598,3.10%
Yarraville-Seddon,152,$274,9.60%,279,$350,2.90%,232,$465,3.30%,313,$535,7.00%
Broadmeadows-Roxburgh Park,60,$235,7.80%,254,$330,3.10%,70,$320,8.50%,712,$350,6.10%
Brunswick,485,$325,-1.50%,724,$440,6.00%,250,$500,1.00%,212,$645,7.50%
Coburg-Pascoe Vale South,190,$315,5.00%,460,$385,4.10%,165,$430,4.90%,348,$500,6.40%
Craigieburn,-,-,-,169,$315,5.00%,73,$320,3.20%,694,$350,2.90%
East Brunswick,373,$360,2.90%,439,$460,2.20%,62,$520,4.00%,87,$670,7.50%
Essendon,386,$300,0.00%,882,$370,2.80%,110,$400,7.20%,388,$450,4.70%
Gladstone Park-Tullamarine,19,$250,-2.00%,139,$320,3.20%,11,$320,-1.50%,234,$370,5.70%
Keilor,-,-,-,-,-,-,-,-,-,32,$395,-1.30%
Moonee Ponds-Ascot Vale,287,$300,5.60%,544,$395,6.80%,178,$460,2.20%,240,$550,0.90%
Oak Park-Glenroy-Fawkner,62,$260,4.00%,659,$350,2.90%,123,$345,4.50%,542,$390,5.40%
Pascoe Vale-Coburg North,62,$230,12.20%,412,$370,4.20%,99,$380,1.90%,251,$440,10.00%
Sunbury,11,$210,-2.30%,135,$310,5.10%,29,$315,5.00%,365,$340,4.60%
West Brunswick,397,$290,9.40%,484,$365,4.30%,52,$463,-1.50%,99,$575,6.50%
Bundoora-Greensborough-Hurstbridge,324,$288,9.50%,662,$350,6.10%,114,$340,3.00%,984,$390,4.00%
Eltham-Research-Montmorency,26,$292,14.50%,148,$350,0.00%,29,$400,14.30%,193,$440,2.30%
Fairfield-Alphington,207,$290,3.60%,222,$380,3.30%,33,$495,7.60%,96,$610,5.20%
Heidelberg-Heidelberg West,104,$340,13.30%,444,$380,5.60%,131,$350,6.10%,332,$420,9.10%
Ivanhoe-Ivanhoe East,146,$380,26.70%,332,$420,12.00%,35,$440,-1.10%,100,$565,8.70%
Mill Park-Epping,74,$285,3.60%,328,$320,4.90%,96,$320,1.60%,861,$360,2.90%
Northcote,438,$320,7.40%,414,$465,8.10%,156,$558,9.40%,190,$650,8.30%
Preston,294,$320,6.70%,680,$390,4.00%,138,$410,2.50%,308,$470,5.60%
Reservoir,228,$290,3.60%,780,$340,3.00%,151,$340,3.00%,486,$380,5.60%
Thomastown-Lalor,43,$290,5.50%,282,$310,0.00%,42,$330,3.10%,514,$350,2.90%
Thornbury,354,$290,7.40%,448,$390,8.30%,89,$490,4.70%,137,$580,5.50%
Whittlesea,12,$270,3.80%,72,$290,3.60%,49,$305,5.20%,379,$350,2.90%
Bayswater,11,$220,-18.50%,250,$330,3.10%,19,$350,8.40%,222,$380,2.70%
Boronia,29,$280,7.70%,263,$350,2.90%,34,$335,1.50%,234,$380,2.70%
Croydon-Lilydale,82,$260,4.00%,560,$345,3.00%,108,$350,2.90%,943,$400,2.60%
Ferntree Gully,-,-,-,116,$340,3.00%,17,$335,-2.30%,259,$400,6.70%
Ringwood,69,$310,12.70%,624,$350,4.50%,68,$365,4.30%,435,$400,0.00%
Rowville,-,-,-,43,$380,2.70%,-,-,-,216,$415,3.80%
Wantirna-Scoresby,39,$325,4.80%,95,$370,2.80%,23,$380,8.60%,412,$400,2.60%
Yarra Ranges,64,$233,3.60%,105,$300,0.00%,140,$325,4.80%,492,$380,2.70%
Berwick,-,-,-,95,$320,3.20%,32,$340,4.60%,715,$370,2.80%
Cranbourne,29,$260,6.10%,171,$300,3.40%,70,$323,4.20%,"1,325",$360,2.90%
Dandenong,189,$240,0.00%,893,$290,3.60%,82,$320,3.20%,474,$370,2.80%
Dandenong North-Endeavour Hills,63,$259,7.90%,223,$310,3.30%,57,$290,0.00%,680,$350,2.90%
Narre Warren-Hampton Park,20,$245,5.60%,201,$310,3.30%,58,$320,0.00%,"1,172",$355,1.40%
Noble Park,181,$220,0.00%,529,$320,3.20%,35,$330,3.80%,350,$360,2.90%
Pakenham,15,$240,14.30%,196,$280,3.70%,72,$300,3.40%,977,$340,3.00%
Springvale,131,$250,7.30%,535,$340,3.00%,59,$350,9.40%,535,$380,2.70%
Dromana-Portsea,24,$230,-1.30%,216,$300,7.10%,219,$300,3.40%,879,$360,4.30%
Frankston,379,$225,2.30%,666,$300,5.30%,119,$330,3.10%,887,$370,2.80%
Hastings-Flinders,-,-,-,194,$300,5.30%,50,$310,0.00%,367,$365,4.30%
Mt Eliza-Mornington-Mt Martha,26,$258,12.20%,245,$350,2.90%,43,$395,12.90%,487,$450,5.90%
