Suburb/town(2017),1 Bed Flat,,,2 Bed Flat,,,2 Bed House,,,3 Bed House,,
Seaford-Carrum Downs,45,$240,-3.20%,274,$313,4.30%,62,$330,6.50%,806,$350,0.00%
Belmont-Grovedale,125,$230,-4.20%,401,$295,3.50%,108,$310,3.30%,768,$360,2.90%
Corio,51,$185,0.00%,108,$260,4.00%,140,$230,0.00%,517,$265,3.90%
Geelong-Newcomb,157,$240,4.30%,342,$298,2.80%,152,$300,0.00%,511,$330,3.10%
Herne Hill-Geelong West,140,$210,5.00%,151,$280,3.70%,98,$330,7.10%,274,$360,2.90%
Lara,-,-,-,59,$280,0.00%,11,$290,-1.00%,144,$358,5.30%
Newtown,49,$210,0.00%,134,$300,5.30%,30,$355,7.60%,129,$395,2.60%
North Geelong,57,$200,5.30%,130,$290,2.50%,74,$298,8.40%,361,$330,1.50%
Ballarat,,,,,,,,,,,,
Ballarat,84,$175,2.90%,261,$250,4.20%,268,$250,0.00%,825,$290,3.60%
Mount Clear-Buninyong,13,$170,-4.50%,37,$240,0.00%,16,$230,-11.50%,114,$310,1.60%
Sebastopol-Delacombe,52,$180,0.00%,172,$230,0.00%,88,$243,1.30%,335,$275,1.90%
Wendouree-Alfredton,97,$160,0.00%,145,$230,0.90%,116,$240,-3.20%,590,$300,1.70%
Bendigo,,,,,,,,,,,,
Bendigo,35,$180,0.00%,126,$240,0.00%,94,$260,4.00%,244,$300,3.40%
Flora Hill-Bendigo East,59,$170,-1.70%,283,$240,2.10%,105,$260,0.00%,466,$300,2.40%
Golden Square-Kangaroo Flat,36,$198,16.50%,109,$250,0.00%,63,$250,0.00%,341,$290,0.00%
North Bendigo,12,$180,0.00%,157,$250,4.20%,90,$250,4.20%,444,$285,1.80%
Bairnsdale,15,$170,-5.60%,87,$230,0.00%,53,$250,4.20%,225,$300,3.40%
Benalla,21,$150,0.00%,116,$200,2.60%,45,$210,-4.50%,153,$270,3.80%
Castlemaine,-,-,-,31,$275,5.80%,67,$300,3.40%,114,$328,2.50%
Echuca,17,$150,-6.30%,123,$250,0.00%,25,$280,1.80%,200,$325,1.60%
Hamilton,28,$150,15.40%,61,$190,2.70%,38,$210,2.40%,178,$240,0.00%
Horsham,43,$235,39.90%,162,$203,-3.30%,38,$220,10.00%,283,$265,1.90%
Mildura,93,$190,5.60%,279,$205,2.50%,108,$250,8.70%,661,$300,3.40%
Moe-Newborough,88,$130,0.00%,104,$160,0.00%,73,$190,5.60%,233,$250,4.20%
Morwell,45,$150,7.10%,148,$180,-2.70%,92,$190,5.60%,290,$230,9.50%
Ocean Grove-Barwon Heads,-,-,-,76,$310,3.30%,32,$333,3.10%,207,$385,4.10%
Portland,26,$155,0.00%,74,$170,0.00%,38,$200,-11.10%,163,$245,6.50%
Sale-Maffra,84,$160,-5.90%,213,$230,-4.20%,74,$240,4.30%,403,$280,0.00%
Seymour,16,$175,12.90%,37,$210,5.00%,14,$260,8.30%,88,$268,5.10%
Shepparton,130,$168,-1.20%,404,$220,0.00%,110,$250,4.20%,742,$290,3.60%
Swan Hill,60,$145,3.60%,111,$225,2.30%,27,$225,7.10%,155,$270,3.80%
Torquay,14,$265,6.00%,67,$330,0.00%,37,$390,4.00%,254,$450,0.00%
Traralgon,56,$163,-4.10%,179,$225,2.30%,91,$250,0.00%,544,$288,-0.70%
Wangaratta,40,$175,10.80%,152,$220,10.00%,49,$230,-2.10%,310,$290,3.60%
Warragul,12,$195,5.40%,98,$260,6.10%,37,$260,4.00%,223,$310,6.90%
Warrnambool,86,$188,-1.10%,370,$240,2.10%,90,$280,7.70%,445,$320,0.00%
Wodonga,63,$170,-2.90%,311,$230,4.50%,56,$250,0.00%,584,$310,3.30%
Colac-Otway,-,-,-,17,$250,4.20%,-,-,-,11,$250,0.00%
Corangamite,-,-,-,-,-,-,-,-,-,-,-,-
Glenelg,-,-,-,23,$170,3.00%,-,-,-,11,$220,10.00%
Greater Geelong,137,$220,5.80%,379,$290,3.60%,92,$350,0.00%,174,$300,3.40%
Moyne,-,-,-,-,-,-,-,-,-,12,$258,-4.40%
Queenscliffe,-,-,-,-,-,-,-,-,-,-,-,-
Southern Grampians,-,-,-,12,$185,-7.50%,-,-,-,-,-,-
Surf Coast,10,$250,-,25,$320,-5.90%,13,$430,2.40%,15,$360,5.90%
Warrnambool,23,$190,-1.60%,84,$250,8.70%,20,$328,21.50%,16,$268,7.20%
Ararat,-,-,-,23,$260,26.80%,-,-,-,-,-,-
Ballarat,52,$173,4.80%,126,$230,-2.10%,44,$275,0.00%,91,$250,2.90%
Golden Plains,-,-,-,-,-,-,-,-,-,-,-,-
Hepburn,-,-,-,-,-,-,-,-,-,15,$320,11.50%
Hindmarsh,-,-,-,-,-,-,-,-,-,-,-,-
Horsham,-,-,-,46,$223,9.90%,11,$260,-7.10%,-,-,-
Moorabool,-,-,-,26,$278,11.20%,13,$325,8.30%,-,-,-
Northern Grampians,-,-,-,11,$180,9.10%,-,-,-,-,-,-
Pyrenees,-,-,-,-,-,-,-,-,-,-,-,-
West Wimmera,-,-,-,-,-,-,-,-,-,-,-,-
Yarriambiack,-,-,-,-,-,-,-,-,-,-,-,-
Buloke,-,-,-,-,-,-,-,-,-,-,-,-
Campaspe,10,$148,2.10%,62,$220,-5.60%,-,-,-,21,$205,-12.80%
Central Goldfields,-,-,-,10,$230,15.00%,-,-,-,10,$218,10.10%
Gannawarra,-,-,-,-,-,-,-,-,-,-,-,-
Greater Bendigo,28,$180,0.00%,161,$250,4.20%,75,$300,0.00%,93,$250,0.00%
Loddon,-,-,-,-,-,-,-,-,-,-,-,-
Macedon Ranges,-,-,-,29,$330,1.50%,15,$400,3.90%,10,$325,-4.40%
Mildura,26,$190,0.00%,63,$200,0.00%,-,-,-,38,$250,8.70%
Mount Alexander,-,-,-,-,-,-,-,-,-,20,$303,8.20%
Swan Hill,17,$150,4.90%,30,$233,6.90%,-,-,-,11,$225,-
Alpine,-,-,-,17,$210,2.40%,-,-,-,14,$250,-
Benalla,-,-,-,30,$213,10.90%,-,-,-,-,-,-
Greater Shepparton,35,$170,0.00%,104,$210,-4.50%,20,$243,-21.60%,25,$250,0.00%
Indigo,-,-,-,-,-,-,-,-,-,18,$260,6.10%
Mansfield,-,-,-,-,-,-,-,-,-,-,-,-
Mitchell,-,-,-,15,$250,4.20%,17,$310,6.90%,11,$280,14.30%
Moira,16,$123,-15.20%,40,$200,-11.10%,12,$243,-14.10%,21,$220,-8.30%
Murrindindi,-,-,-,-,-,-,-,-,-,15,$245,-
Strathbogie,-,-,-,-,-,-,-,-,-,-,-,-
Towong,-,-,-,-,-,-,-,-,-,-,-,-
Wangaratta,10,$180,-,41,$220,10.00%,-,-,-,14,$240,-3.20%
Wodonga,16,$175,0.00%,76,$233,5.90%,28,$305,7.80%,11,$250,0.00%
Hume,91,$170,6.30%,344,$220,0.00%,101,$290,1.80%,144,$250,4.20%
Bass Coast,-,-,-,21,$250,0.00%,14,$300,5.30%,21,$250,4.20%
Baw Baw,-,-,-,46,$265,10.40%,15,$310,6.90%,26,$255,-1.90%
East Gippsland,-,-,-,37,$230,2.20%,10,$265,-14.50%,41,$250,6.40%
Latrobe,47,$150,7.10%,98,$190,0.00%,25,$250,-11.70%,63,$210,0.00%
South Gippsland,-,-,-,20,$223,1.40%,-,-,-,10,$240,0.80%
Wellington,31,$160,0.00%,38,$228,3.60%,18,$300,0.00%,19,$230,4.50%
Banyule,107,$305,1.70%,329,$380,8.60%,95,$445,3.50%,66,$370,5.70%
Brimbank,46,$235,6.80%,174,$310,3.30%,123,$350,2.00%,43,$330,10.00%
Darebin,321,$300,3.40%,559,$380,5.60%,118,$435,3.60%,135,$430,7.50%
Hobsons Bay,58,$305,8.90%,198,$345,7.80%,43,$450,-7.20%,58,$428,1.90%
Hume,29,$260,-1.90%,171,$330,3.10%,80,$350,4.50%,39,$320,3.20%
Maribyrnong,216,$300,7.10%,403,$370,2.80%,53,$450,2.30%,137,$430,3.60%
Melbourne,"3,006",$400,5.30%,"2,496",$580,5.50%,308,$788,1.70%,77,$520,5.10%
Melton,-,-,-,46,$278,-13.10%,75,$320,3.20%,19,$290,7.40%
Moonee Valley,306,$350,19.50%,396,$385,1.90%,64,$473,2.80%,97,$470,9.30%
Moreland,354,$325,-1.50%,748,$395,3.90%,143,$450,2.30%,203,$440,1.10%
Nillumbik,-,-,-,19,$355,4.40%,19,$425,9.00%,-,-,-
Whittlesea,24,$295,7.30%,160,$320,3.20%,70,$345,1.50%,44,$330,10.00%
Wyndham,14,$250,4.20%,131,$300,3.40%,75,$330,3.10%,50,$325,2.20%
Yarra,495,$380,5.60%,580,$520,4.00%,63,$750,4.20%,181,$590,5.40%
Boroondara,487,$330,4.80%,728,$430,2.40%,123,$590,-0.80%,58,$520,8.30%
Knox,22,$270,-3.60%,170,$350,1.40%,120,$415,5.10%,14,$370,7.20%
Manningham,45,$360,2.90%,201,$420,5.00%,97,$500,12.40%,11,$400,1.30%
Maroondah,15,$305,5.90%,253,$350,2.90%,98,$413,1.20%,37,$360,2.90%
Monash,125,$310,9.50%,357,$390,2.60%,231,$490,-1.00%,36,$393,2.10%
Whitehorse,246,$298,2.80%,507,$410,7.90%,166,$500,1.00%,58,$395,3.90%
Yarra Ranges,25,$260,2.80%,90,$350,5.10%,50,$415,4.30%,41,$330,3.10%
Bayside,68,$360,0.00%,278,$463,0.70%,70,$648,-1.80%,26,$510,14.60%
Cardinia,-,-,-,47,$280,2.60%,40,$320,0.00%,17,$310,12.70%
Casey,12,$265,10.40%,131,$315,1.60%,112,$350,2.90%,44,$328,2.50%
Frankston,91,$225,-2.20%,249,$310,3.30%,120,$360,0.00%,54,$340,5.30%
Glen Eira,507,$295,1.70%,746,$420,2.40%,176,$570,3.60%,67,$475,5.60%
Greater Dandenong,130,$240,4.30%,444,$310,3.30%,166,$380,5.60%,48,$340,9.70%
Kingston,94,$310,5.10%,475,$380,5.60%,102,$450,2.30%,47,$420,6.90%
Mornington Peninsula,12,$260,6.10%,158,$328,2.50%,123,$400,1.30%,84,$318,6.00%
Port Phillip,794,$370,5.70%,855,$480,2.10%,78,$658,-9.60%,93,$600,4.30%
Stonnington,927,$375,7.10%,868,$510,4.50%,123,$700,7.70%,99,$600,0.00%
