,name,property_type,property_feature,coordinates,desc,postcode,week_rent,sa2_coor,closest_sa2,2023 Population,2023Pred,bedroom_num,bathroom_num,parking_num
10,203/150 Clarendon Street East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$3800']","[-37.8120899, 144.9835967]",Jordan Palma,3002,950.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['1'],['1'],['1']
11,8/108 George Street East Melbourne VIC 3002,Apartment / Unit / Flat,"['Thursday, 15th September 2022', '$2151']","[-37.8152553, 144.9867895]",Jordan Palma,3002,475.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['1'],['1'],['1']
12,5/246 Albert Street East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$3020']","[-37.81012279999999, 144.9828284]",Martine Bannister,3002,695.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['2'],['1'],['1']
13,2/8 Wellington Crescent East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$3259', '92m²']","[-37.8172238, 144.9776702]",Mikaele Horsnell,3002,750.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['2'],['2'],['2']
14,15/1 Wellington Crescent East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$2390']","[-37.8173777, 144.9781787]",Mark Faranda,3002,550.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['2'],['1'],['1']
15,204/280 Albert Street East Melbourne VIC 3002,Apartment / Unit / Flat,['Available Now'],"[-37.8097936, 144.9817503]","Welcome to 'The Eastbourne', ",3002,No Available,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['2'],['2'],['1']
16,1005/296 Victoria Parade East Melbourne VIC 3002,Apartment / Unit / Flat,"['Friday, 16th September 2022']","[-37.8091912, 144.9815952]","Welcome to The Eastbourne, Melbourne's inner city Eden",3002,No Available,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['1'],['1'],['1']
17,303V/162 Albert Street East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$2107']","[-37.8100432, 144.9855313]","Set in the Tribeca complex and close to tram, CBD, MCG and Brunswick Street
Features: Security entry, open plan living, 2 bedrooms, designer kitchen with stainless steel appliances and dishwasher, sleek and spacious bathroom, Euro laundry facilities, heating, balcony and secure basement car park. With a boutique shopping promenade at your door step and providing effortless access to CBD and",3002,485.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['2'],['1'],['1']
18,1/27 Powlett Street East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$3020']","[-37.812459, 144.985593]","Enjoying a sunny north-facing aspect, this fully renovated three bedroom apartment presents an ideal opportunity in this prized pocket of East Melbourne within close proximity to the CBD, Wellington Parade cafes, the MCG, along with trams, Fitzroy Gardens, Yarra Park, Bridge Road restaurants and shops.
Securely accessed via intercom, the apartment comprises a hallway entrance, two double sized",3002,695.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['3'],['1'],['1']
19,1/9 Garden Avenue East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$2129']","[-37.8161239, 144.9885721]",This apartment boasts spacious sunfilled rooms and a charming 'old world' style.,3002,490.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['2'],['1'],['1']
20,125B George Street East Melbourne VIC 3002,Townhouse,"['Available Now', '$3020']","[-37.81553, 144.986258]",**ARRANGE AN INSPECTION TIME ONLINE - DETAILS BELOW**,3002,660.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['2'],['1'],['1']
21,3/126 Albert Street East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$1955']","[-37.8105917, 144.9870423]",This spacious ground-floor apartment offers an excellent layout with a leafy outlook in the highly sought-after East Melbourne area. ,3002,450.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['2'],['1'],[]
22,506 Victoria Parade East Melbourne VIC 3002,House,"['Available Now', '$3432']","[-37.809935, 144.988228]","This very special property will captivate you the moment you step inside. Superbly refurbished to capture natural light and combining a wonderful ambience that reflects the charm and character of the period while providing all the modern comforts of today. Offering high ceilings, ornate open fireplaces and meticulous attention to detail. ",3002,790.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['3'],['2'],['1']
23,21/8 Wellington Crescent East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$3042']","[-37.8172238, 144.9776702]",HOW DO I REGISTER TO INSPECT ? - Instructions available below this ad.,3002,700.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['3'],['1'],['1']
24,1302/1 Powlett Street East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$9000']","[-37.8161275, 144.984988]","Occupying half of the top floor at One Powlett Street the gorgeous penthouse designed by prized architect Nonda Katsalidas provides luxurious living for those seeking a low maintenance lifestyle.
Soaring views across the south-east set backdrop to the spacious open planning living and dining area featuring well-appointed kitchen with ample storage and counter space.
The expansive master suite with",3002,800.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['3'],['2'],['2']
25,17/102 Jolimont Road East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$3259']","[-37.8181952, 144.9789461]",**ARRANGE AN INSPECTION TIME ONLINE - DETAILS BELOW**,3002,750.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['2'],['2'],['1']
26,162 George Street East Melbourne VIC 3002,Townhouse,"['Available Now', '$6500']","[-37.8150779, 144.9851819]","To view this property, simply click on ""Book An Inspection"" and register your details. By registering, you will be instantly informed of any new inspection times, updates or cancellations for your appointment.",3002,300.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['3'],['2'],['1']
27,86 Hotham Street East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$2064']","[-37.8141406, 144.9874786]",** Live video inspections available! **,3002,475.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['1'],['1'],['1']
28,102/279 Wellington Parade South East Melbourne VIC 3002,Apartment / Unit / Flat,"['Friday, 30th September 2022', '$2086']","[-37.8162335, 144.9760382]",Rent: $480 per week,3002,480.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['1'],['1'],['1']
29,7/35 Powlett Street East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$2716']","[-37.8154065, 144.9850928]"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",3002,625.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['2'],['1'],['1']
30,16/22 Agnes Street East Melbourne VIC 3002,Apartment / Unit / Flat,"['Wednesday, 28th September 2022', '$2303']","[-37.8177361, 144.9800992]"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",3002,530.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['2'],['1'],['1']
31,27/201 Wellington Parade South East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$2064']","[-37.8167522, 144.9785462]"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",3002,440.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['1'],['1'],['1']
32,304/280 Albert Street East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '97m²']","[-37.8097936, 144.9817503]","Welcome to The Eastbourne, Melbourne's inner city Eden",3002,950.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['2'],['2'],['1']
33,East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$6517']","[-37.8161444, 144.9804594]"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",3002,500.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['1'],['1'],['1']
34,105M/201 Powlett Street East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$1694']","[-37.8096583, 144.9856197]","This modern two bedroom or one bedroom plus study apartment located in the Astorial building boasts an open plan living / dining with access balcony, perfect for entertaining during Summer. ",3002,390.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['1'],['1'],['1']
35,710 / 10 St Andrews East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$2000']","[-37.811829, 144.9767106]","Property No. 29186
To apply, click 'Email Agent' and receive a link via email instantly",3002,590.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['0'],['1'],['1']
36,208V/162 Albert Street East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$2216']","[-37.8100432, 144.9855313]"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",3002,510.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['2'],['1'],['1']
37,115V/162 Albert Street East Melbourne VIC 3002,Apartment / Unit / Flat,['Available Now'],"[-37.8100432, 144.9855313]"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",3002,520.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['2'],['1'],['1']
38,26/211 Wellington Parade South East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$3259']","[-37.8164312, 144.977452]"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",3002,750.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['3'],['2'],['2']
39,213/33 Cliveden Close East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$1695']","[-37.8171001, 144.9767157]","Peacefully nestled in a leafy East Melbourne pocket, the apartment is a literal stone's throw to the MCG and Melbourne's active CBD. The apartment is also a short distance to Melbourne's hotspots such as Fitzroy Gardens, Birrarung Marr, Federation Square, and Melbourne's Paris End with its theatre district, and amazing shopping. Public transport is also easily accessible with the Bridge Road trams",3002,390.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['1'],['1'],['1']
40,9/8 Wellington Crescent East Melbourne VIC 3002,Apartment / Unit / Flat,"['Friday, 16th September 2022', '$3389', '110m²']","[-37.8172238, 144.9776702]"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",3002,780.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['3'],['2'],['2']
41,560 Victoria Parade East Melbourne VIC 3002,House,"['Available Now', '$4302']","[-37.81013799999999, 144.990052]"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",3002,990.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['4'],['1'],[]
42,158 Simpson Street East Melbourne VIC 3002,Apartment / Unit / Flat,"['Available Now', '$750']","[-37.8106622, 144.9890725]","Furnished apartments include all utilities, Foxtel (30+ channels) &amp; unlimited local and national calls. 100's to choose, Book online.",3002,995.0,"[xcoord    144.983863
ycoord    -37.814001
Name: East Melbourne, dtype: float64]",East Melbourne,5864.590097508306,148341.33333333302,['1'],['1'],['1']
43,405/15 Queens Road Melbourne VIC 3004,Apartment / Unit / Flat,"['Available Now', '$2390']","[-37.8392276, 144.9748227]",Annie Gillan,3004,550.0,"[xcoord    144.962928
ycoord    -37.825860
Name: Southbank, dtype: float64, xcoord    144.982658
ycoord    -37.836778
Name: South Yarra - West, dtype: float64]",South Yarra - West,7223.858868223266,163487.66666666605,['2'],['2'],['1']
44,18e/481 St Kilda Road Melbourne VIC 3004,Apartment / Unit / Flat,"['Available Now', '$16800']","[-37.8421147, 144.9787599]",Debbie Davut,3004,2800.0,"[xcoord    144.962928
ycoord    -37.825860
Name: Southbank, dtype: float64, xcoord    144.982658
ycoord    -37.836778
Name: South Yarra - West, dtype: float64]",South Yarra - West,7223.858868223266,163487.66666666605,['3'],['3'],['2']
45,309/9 Commercial Road Melbourne VIC 3004,Apartment / Unit / Flat,"['Available Now', '$2170']","[-37.8456125, 144.9793561]",Susan Holly,3004,500.0,"[xcoord    144.962928
ycoord    -37.825860
Name: Southbank, dtype: float64, xcoord    144.982658
ycoord    -37.836778
Name: South Yarra - West, dtype: float64]",South Yarra - West,7223.858868223266,163487.66666666605,['1'],['1'],['1']
46,314/499 St Kilda Road Melbourne VIC 3004,Apartment / Unit / Flat,"['Available Now', '$3900']","[-37.8431328, 144.9793408]",Susan Holly,3004,900.0,"[xcoord    144.962928
ycoord    -37.825860
Name: Southbank, dtype: float64, xcoord    144.982658
ycoord    -37.836778
Name: South Yarra - West, dtype: float64]",South Yarra - West,7223.858868223266,163487.66666666605,['2'],['2'],['1']
47,805/81 Queens Road Melbourne VIC 3004,Studio,"['Available Now', '$1651']","[-37.853804, 144.9798785]",Leasing Concierge,3004,380.0,"[xcoord    144.962928
ycoord    -37.825860
Name: Southbank, dtype: float64, xcoord    144.982658
ycoord    -37.836778
Name: South Yarra - West, dtype: float64]",South Yarra - West,7223.858868223266,163487.66666666605,['0'],['1'],['1']
48,1201/55 Queens Road Melbourne VIC 3004,Apartment / Unit / Flat,"['Available Now', '$6600']","[-37.8478901, 144.9782817]",Neil Harris,3004,100.0,"[xcoord    144.962928
ycoord    -37.825860
Name: Southbank, dtype: float64, xcoord    144.982658
ycoord    -37.836778
Name: South Yarra - West, dtype: float64]",South Yarra - West,7223.858868223266,163487.66666666605,['2'],['2'],['2']
49,104/12 Queens Road Melbourne VIC 3004,Apartment / Unit / Flat,"['Friday, 16th September 2022', '$1912']","[-37.8384194, 144.9747126]",Kim Te,3004,440.0,"[xcoord    144.962928
ycoord    -37.825860
Name: Southbank, dtype: float64, xcoord    144.982658
ycoord    -37.836778
Name: South Yarra - West, dtype: float64]",South Yarra - West,7223.858868223266,163487.66666666605,['1'],['1'],['1']
50,19/73 Queens Road Melbourne VIC 3004,Apartment / Unit / Flat,"['Available Now', '$2520']","[-37.8519051, 144.9795738]",Neil Scott,3004,580.0,"[xcoord    144.962928
ycoord    -37.825860
Name: Southbank, dtype: float64, xcoord    144.982658
ycoord    -37.836778
Name: South Yarra - West, dtype: float64]",South Yarra - West,7223.858868223266,163487.66666666605,['2'],['2'],['1']
51,517/74 Queens Road Melbourne VIC 3004,Apartment / Unit / Flat,"['Thursday, 8th September 2022', '$1956']","[-37.8522192, 144.9795815]",Kim Te,3004,450.0,"[xcoord    144.962928
ycoord    -37.825860
Name: Southbank, dtype: float64, xcoord    144.982658
ycoord    -37.836778
Name: South Yarra - West, dtype: float64]",South Yarra - West,7223.858868223266,163487.66666666605,['2'],['1'],['1']
52,60/485 St Kilda Road Melbourne VIC 3004,Apartment / Unit / Flat,"['Available Now', '$1842']","[-37.8426262, 144.9783298]",Liam Mulligan,3004,425.0,"[xcoord    144.962928
ycoord    -37.825860
Name: Southbank, dtype: float64, xcoord    144.982658
ycoord    -37.836778
Name: South Yarra - West, dtype: float64]",South Yarra - West,7223.858868223266,163487.66666666605,['1'],['1'],['1']
53,405/442 St Kilda Road Melbourne VIC 3004,Apartment / Unit / Flat,"['Friday, 30th September 2022', '$1651']","[-37.8382389, 144.9754034]",South Melbourne Leasing,3004,380.0,"[xcoord    144.962928
ycoord    -37.825860
Name: Southbank, dtype: float64, xcoord    144.982658
ycoord    -37.836778
Name: South Yarra - West, dtype: float64]",South Yarra - West,7223.858868223266,163487.66666666605,['1'],['1'],['1']
54,1312/35 Albert Rd Melbourne VIC 3004,Apartment / Unit / Flat,"['Available Now', '$2564']","[-37.834694999999996, 144.9721117]",Leasing Team,3004,590.0,"[xcoord    144.962928
ycoord    -37.825860
Name: Southbank, dtype: float64, xcoord    144.982658
ycoord    -37.836778
Name: South Yarra - West, dtype: float64]",South Yarra - West,7223.858868223266,163487.66666666605,['2'],['2'],['1']
55,76/485-489 St Kilda Road Melbourne VIC 3004,Apartment / Unit / Flat,"['Available Now', '$2759']","[-37.8426262, 144.9783298]",**ARRANGE AN INSPECTION TIME ONLINE-DETAILS BELOW**,3004,635.0,"[xcoord    144.962928
ycoord    -37.825860
Name: Southbank, dtype: float64, xcoord    144.982658
ycoord    -37.836778
Name: South Yarra - West, dtype: float64]",South Yarra - West,7223.858868223266,163487.66666666605,['2'],['1'],['1']
56,913/610 St Kilda Road Melbourne VIC 3004,Apartment / Unit / Flat,"['Tuesday, 20th September 2022', '$1781']","[-37.8520422, 144.9803303]",South Melbourne Leasing,3004,410.0,"[xcoord    144.962928
ycoord    -37.825860
Name: Southbank, dtype: float64, xcoord    144.982658
ycoord    -37.836778
Name: South Yarra - West, dtype: float64]",South Yarra - West,7223.858868223266,163487.66666666605,['2'],['1'],['1']
57,1606/8 Bowen Crescent Melbourne VIC 3004,Apartment / Unit / Flat,"['Available Now', '$2825']","[-37.8354199, 144.9725792]",Kim Te,3004,650.0,"[xcoord    144.962928
ycoord    -37.825860
Name: Southbank, dtype: float64, xcoord    144.982658
ycoord    -37.836778
Name: South Yarra - West, dtype: float64]",South Yarra - West,7223.858868223266,163487.66666666605,['2'],['2'],['1']
58,801/12 Queens Road Melbourne VIC 3004,Apartment / Unit / Flat,"['Available Now', '$3911']","[-37.8384194, 144.9747126]",Stephanie Lindner,3004,900.0,"[xcoord    144.962928
ycoord    -37.825860
Name: Southbank, dtype: float64, xcoord    144.982658
ycoord    -37.836778
Name: South Yarra - West, dtype: float64]",South Yarra - West,7223.858868223266,163487.66666666605,['3'],['2'],['2']
59,603/469 St Kilda Road Melbourne VIC 3004,Apartment / Unit / Flat,"['Available Now', '$4780']","[-37.8414584, 144.9779051]",Debbie Davut,3004,1100.0,"[xcoord    144.962928
ycoord    -37.825860
Name: Southbank, dtype: float64, xcoord    144.982658
ycoord    -37.836778
Name: South Yarra - West, dtype: float64]",South Yarra - West,7223.858868223266,163487.66666666605,['2'],['2'],['2']
60,5/80 Queens Road Melbourne VIC 3004,Apartment / Unit / Flat,"['Available Now', '$1521']","[-37.8532567, 144.9796633]",*** YOU MUST PRE-REGISTER TO ATTEND THE SCHEDULED INSPECTION *** ,3004,350.0,"[xcoord    144.962928
ycoord    -37.825860
Name: Southbank, dtype: float64, xcoord    144.982658
ycoord    -37.836778
Name: South Yarra - West, dtype: float64]",South Yarra - West,7223.858868223266,163487.66666666605,['1'],['1'],['1']
61,1306/582 St Kilda Road Melbourne VIC 3004,Apartment / Unit / Flat,"['Available Now', '$5880']","[-37.8493082, 144.9794216]","A pristine domain set within the sought-after Aurora building, this apartment will wow you with its compelling combination of design and space. Breathtaking views of Albert Park Lake, Port Phillip Bay and the CBD skyline from this exceptional 13th level apartment offers luxury living in a first class address. Recently renovated throughout this light-filled abode features a delightful open plan",3004,1100.0,"[xcoord    144.962928
ycoord    -37.825860
Name: Southbank, dtype: float64, xcoord    144.982658
ycoord    -37.836778
Name: South Yarra - West, dtype: float64]",South Yarra - West,7223.858868223266,163487.66666666605,['2'],['2'],['2']
62,803/430 St Kilda Road Melbourne VIC 3004,Apartment / Unit / Flat,"['Available Now', '$8400']","[-37.837123, 144.9751256]","If you are looking for a executive apartment with an exclusive address, look no further than this immaculate unfurnished 3 bedroom (2 bedroom plus study) apartment located in the heart of the exclusive St Kilda Road Mansion precinct.",3004,1400.0,"[xcoord    144.962928
ycoord    -37.825860
Name: Southbank, dtype: float64, xcoord    144.982658
ycoord    -37.836778
Name: South Yarra - West, dtype: float64]",South Yarra - West,7223.858868223266,163487.66666666605,['3'],['2'],['2']
