,name,latitude,longitude,nearestSchool,nearestSchool_distance,nearestStation,nearestStation_distance,Y,X,School_Name,STOP_ID,LATITUDE,LONGITUDE,STOP_NAME,real_school_distance,real_school_duration,real_station_distance,real_station_duration
0,"625 PENSHURST WARRNAMBOOL ROAD, KIRKSTALL",-38.27251001,142.3123001,Koroit And District Primary School,5.4079,Werribee Railway Station (Werribee),210.1741,-38.29244,142.3687,Koroit And District Primary School,19921,-37.8994,144.6611,Werribee Railway Station (Werribee),6.4,5.7,247.3,181.2
1,"21 KELLYS ROAD, KIRKSTALL",-38.2698412,142.3227913,Koroit And District Primary School,4.7358,Werribee Railway Station (Werribee),209.2172,-38.29244,142.3687,Koroit And District Primary School,19921,-37.8994,144.6611,Werribee Railway Station (Werribee),7.7,7.6,248.6,183.1
2,"30 WOODWARD ST, KIRKSTALL",-38.2731628002,142.3155346002,Koroit And District Primary School,5.1202,Werribee Railway Station (Werribee),209.9094,-38.29244,142.3687,Koroit And District Primary School,19921,-37.8994,144.6611,Werribee Railway Station (Werribee),6.6,5.9,247.5,181.5
3,"17 KIRKSTALL-KOROIT ROAD, KIRKSTALL",-38.27109001,142.32087001,Koroit And District Primary School,4.8093,Werribee Railway Station (Werribee),209.408,-38.29244,142.3687,Koroit And District Primary School,19921,-37.8994,144.6611,Werribee Railway Station (Werribee),7.3,6.9,248.2,182.4
4,"17 KOROIT - KIRKSTALL ROAD, KIRKSTALL",-38.2714671,142.3207902,Koroit And District Primary School,4.7949,Werribee Railway Station (Werribee),209.4226,-38.29244,142.3687,Koroit And District Primary School,19921,-37.8994,144.6611,Werribee Railway Station (Werribee),7.3,6.9,248.2,182.4
5,"197 SCOTTS ROAD NORTH, KIRKSTALL",-38.2695085,142.3322461,Koroit And District Primary School,4.0808,Werribee Railway Station (Werribee),208.3972,-38.29244,142.3687,Koroit And District Primary School,19921,-37.8994,144.6611,Werribee Railway Station (Werribee),5.5,7.8,246.4,183.3
6,"15 KIRKSTALL ROAD, KIRKSTALL",-38.2729595,142.3318664,Koroit And District Primary School,3.881,Werribee Railway Station (Werribee),208.501,-38.29244,142.3687,Koroit And District Primary School,19921,-37.8994,144.6611,Werribee Railway Station (Werribee),5.1,7.0,246.0,182.5
7,"52 BENCES ROAD, KIRKSTALL",-38.265658,142.327279,Koroit And District Primary School,4.6876,Werribee Railway Station (Werribee),208.746,-38.29244,142.3687,Koroit And District Primary School,19921,-37.8994,144.6611,Werribee Railway Station (Werribee),8.6,8.7,249.5,184.2
8,"22 RITCHIES ST, KIRKSTALL",-38.275272,142.314664,Koroit And District Primary School,5.0974,Werribee Railway Station (Werribee),210.0277,-38.29244,142.3687,Koroit And District Primary School,19921,-37.8994,144.6611,Werribee Railway Station (Werribee),6.5,6.0,6.5,6.0
9,"247 SOUTHERN CROSS ROAD, SOUTHERN CROSS",-38.3057873,142.4016509,Koroit And District Primary School,3.2408,Werribee Railway Station (Werribee),203.2392,-38.29244,142.3687,Koroit And District Primary School,19921,-37.8994,144.6611,Werribee Railway Station (Werribee),4.2,3.9,237.8,172.1
