,name,latitude,longitude,nearestSchool,nearestSchool_distance,nearestStation,nearestStation_distance,School_Y,School_X,School_Name,STOP_ID,LATITUDE,LONGITUDE,STOP_NAME,real_school_distance,real_school_duration,real_station_distance,real_station_duration
0,"609/1 BOUVERIE STREET, CARLTON SOUTH",-37.8061001,144.96122001,River Nile School,0.5492,Melbourne Central Railway Station (Melbourne City),0.4389,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),0.9,2.3,1.3,2.7
1,"507/22 ORR STREET, CARLTON SOUTH",-37.80634001,144.96535001,Carlton Gardens Primary School,0.6008,Melbourne Central Railway Station (Melbourne City),0.4634,-37.80205,144.96951,Carlton Gardens Primary School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
2,"112/1 QUEENSBERRY STREET, CARLTON SOUTH",-37.80541001,144.96875001,Carlton Gardens Primary School,0.3789,Parliament Railway Station (Melbourne City),0.7297,-37.80205,144.96951,Carlton Gardens Primary School,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
3,"3203/488 SWANSTON STREET, CARLTON SOUTH",-37.80558001,144.96354001,Carlton Gardens Primary School,0.6557,Melbourne Central Railway Station (Melbourne City),0.4866,-37.80205,144.96951,Carlton Gardens Primary School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
4,"506/1 BOUVERIE STREET, CARLTON SOUTH",-37.8060974,144.9612201,River Nile School,0.5492,Melbourne Central Railway Station (Melbourne City),0.4392,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
5,"911/551 SWANSTON STREET, CARLTON SOUTH",-37.8057236,144.9624931,River Nile School,0.6546,Melbourne Central Railway Station (Melbourne City),0.4636,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
6,"6/205 CARDIGAN STREET, CARLTON SOUTH",-37.801786,144.964951,Carlton Gardens Primary School,0.4026,Melbourne Central Railway Station (Melbourne City),0.9241,-37.80205,144.96951,Carlton Gardens Primary School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
7,"120/49 RATHDOWNE STREET, CARLTON SOUTH",-37.806013,144.96878,Carlton Gardens Primary School,0.4445,Parliament Railway Station (Melbourne City),0.6711,-37.80205,144.96951,Carlton Gardens Primary School,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
8,"807/570 SWANSTON STREET, CARLTON SOUTH",-37.8032811,144.9635158,Carlton Gardens Primary School,0.5453,Melbourne Central Railway Station (Melbourne City),0.7391,-37.80205,144.96951,Carlton Gardens Primary School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
9,"114 FARADAY STREET, CARLTON SOUTH",-37.79885,144.970869,Carlton Primary School,0.3626,Parliament Railway Station (Melbourne City),1.3714,-37.7956,144.97045,Carlton Primary School,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
10,"4/220 ELGIN STREET, CARLTON SOUTH",-37.796875,144.966851,Carlton Primary School,0.3471,Melbourne Central Railway Station (Melbourne City),1.4934,-37.7956,144.97045,Carlton Primary School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
11,"110/1 BOUVERIE STREET, CARLTON SOUTH",-37.806097,144.96122,River Nile School,0.5491,Melbourne Central Railway Station (Melbourne City),0.4393,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
12,"528 SWANSTON ST, CARLTON SOUTH",-37.804422,144.96355,Carlton Gardens Primary School,0.5872,Melbourne Central Railway Station (Melbourne City),0.6137,-37.80205,144.96951,Carlton Gardens Primary School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
13,"96 KAY STREET CARLTON, CARLTON SOUTH",-37.794848,144.971853,Carlton Primary School,0.1491,Parliament Railway Station (Melbourne City),1.8062,-37.7956,144.97045,Carlton Primary School,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
14,"79 STATION STREET, CARLTON SOUTH",-37.795697,144.974067,Carlton Primary School,0.3188,Parliament Railway Station (Melbourne City),1.7127,-37.7956,144.97045,Carlton Primary School,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
15,"107 FARADAY STREET, CARLTON SOUTH",-37.799275,144.970892,Carlton Gardens Primary School,0.3312,Parliament Railway Station (Melbourne City),1.3243,-37.80205,144.96951,Carlton Gardens Primary School,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
16,"220 LYGON STREET, CARLTON SOUTH",-37.801868,144.967001,Carlton Gardens Primary School,0.2219,Melbourne Central Railway Station (Melbourne City),0.9721,-37.80205,144.96951,Carlton Gardens Primary School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
17,"11 NEILL STREET, CARLTON SOUTH",-37.793421,144.974265,Carlton North Primary School,0.2837,Victoria Park Railway Station (Abbotsford),1.8941,-37.79106,144.97303,Carlton North Primary School,19975,-37.7992,144.9945,Victoria Park Railway Station (Abbotsford),,,,
18,"23/116 DRUMMOND STREET, CARLTON SOUTH",-37.803706,144.968135,Carlton Gardens Primary School,0.2201,Melbourne Central Railway Station (Melbourne City),0.8427,-37.80205,144.96951,Carlton Gardens Primary School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
19,"121/49-51 RATHDOWNE STREET, CARLTON SOUTH",-37.805934,144.96879,Carlton Gardens Primary School,0.4357,Parliament Railway Station (Melbourne City),0.6781,-37.80205,144.96951,Carlton Gardens Primary School,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
20,"LOT 1115 570 SWANSTON STREET, CARLTON SOUTH",-37.8032762,144.9634693,Carlton Gardens Primary School,0.5491,Melbourne Central Railway Station (Melbourne City),0.7392,-37.80205,144.96951,Carlton Gardens Primary School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
21,"26-34 LT CARDIGAN STREET, CARLTON SOUTH",-37.8147358,144.9722042,Stott's College,0.3831,Parliament Railway Station (Melbourne City),0.4082,-37.81154,144.97056,Stott's College,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
22,"305D/604 SWANSTON STREET, CARLTON SOUTH",-37.80153,144.964037,Carlton Gardens Primary School,0.4854,Melbourne Central Railway Station (Melbourne City),0.9376,-37.80205,144.96951,Carlton Gardens Primary School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
23,"71/1 QUEENSBERRY STREET, CARLTON SOUTH",-37.805413,144.968872,Carlton Gardens Primary School,0.3775,Parliament Railway Station (Melbourne City),0.7241,-37.80205,144.96951,Carlton Gardens Primary School,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
24,"404/63-69 BOUVERIE STREET, CARLTON SOUTH",-37.804955,144.96142,River Nile School,0.5581,Melbourne Central Railway Station (Melbourne City),0.5586,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
25,"97 BARKLY STREET, CARLTON SOUTH",-37.7783808002,144.9826669002,Deutsche Schule Melbourne,0.0507,Merri Railway Station (Northcote),0.9126,-37.77883,144.98277,Deutsche Schule Melbourne,20017,-37.7778,144.993,Merri Railway Station (Northcote),,,,
